Project Name;Ticket;Priority;Severity;Category;Status;Opening Date;Date of Resolution;Acknowledge SLA;Resolution SLA;Application;Environment;MD's;Problem;Country;Close Date;Closed Admin;SM Audit;
Farmacia Arrocha;0107761;P2;incident;Application;closed;2026-01-26;;0;753;XStore;QA;0,41;;N/A;2026-02-06 09:02:44;Y;;
Farmacia Arrocha;0107766;P2;incident;Application;closed;2026-01-26;2026-02-05 10:17:11;0;979;XStore;PRD;0,38;108244;N/A;2026-02-11 01:02:32;N;;
Farmacia Arrocha;0107869;P2;user_request;Application;closed;2026-01-28;2026-02-05 15:30:51;0;571;XStore;PRD;0,47;;N/A;2026-02-13 09:02:47;Y;;
Farmacia Arrocha;0107924;P2;problem;Integration;closed;2026-01-29;2026-01-29 16:53:10;0;2;XStore;PRD;0,00;;N/A;2026-03-21 09:03:56;N;;
Farmacia Arrocha;0107934;P2;incident;Application;closed;2026-01-29;2026-01-30 12:34:01;0;165;ORCE;PRD;0,00;107961;N/A;2026-02-05 01:02:15;N;;
Farmacia Arrocha;0107961;P2;problem;Application;closed;2026-01-30;2026-01-30 12:36:14;0;0;ORCE;PRD;0,03;;N/A;2026-03-21 09:03:55;N;;
Farmacia Arrocha;0108054;P2;incident;Application;closed;2026-02-02;;0;290;XStore;PRD;0,22;;N/A;2026-02-18 09:02:42;Y;;
Farmacia Arrocha;0108069;P2;incident;Application;rejected;2026-02-02;;0;;XStore;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0108159;P2;problem;Application;waiting_client_feedback;2026-02-03;;0;;XStore;PRD;0,13;;N/A;;N;;
Farmacia Arrocha;0108185;P2;user_request;Application;closed;2026-02-04;2026-02-11 11:36:59;0;399;XStore;PRD;0,00;;N/A;2026-02-11 11:02:04;N;;
Farmacia Arrocha;0108244;P2;problem;Application;closed;2026-02-05;2026-02-05 12:32:08;0;0;XStore;PRD;0,03;;N/A;2026-03-28 09:03:22;N;;
Farmacia Arrocha;0108322;P2;incident;Application;closed;2026-02-06;;0;110;XStore;PRD;0,19;;N/A;2026-02-14 09:02:43;Y;;
Farmacia Arrocha;0108330;P2;user_request;Application;closed;2026-02-06;;0;176;XStore;PRD;0,81;;N/A;2026-02-19 09:02:44;Y;;
